,No.,Title,Artist(s),Year,spo_name,spo_id,explicit,images,release_date,preview_url,itunes_name,apple_id,genre,trackTime,trackView
470,71,"""Slide""",Calvin Harris featuring Frank Ocean and Migos,2017,Slide,0nnwn7LWHCAu09jfuH1xTA,False,https://i.scdn.co/image/ab67616d0000b273eda9478c39a21e1cdc6609ca,1998-09-11,https://p.scdn.co/mp3-preview/0b5bcd2381d30040b49d8919dcb5721facfa66ea?cid=914d599079cf414bb7441d9c09e8dd1d,Slide (feat. Frank Ocean & Migos),267536545,Dance,230813,https://music.apple.com/us/album/slide-feat-frank-ocean-migos/1233869908?i=1233869909&uo=4
471,72,"""What Ifs""",Kane Brown featuring Lauren Alaina,2017,What Ifs (feat. Lauren Alaina),7zVCrzzEJU7u24sbJPXA5W,False,https://i.scdn.co/image/ab67616d0000b27348295fd4144b8ce6b437d682,2016-12-02,https://p.scdn.co/mp3-preview/35907d15dbb62ead08aa284dc08c354b214d6ef6?cid=914d599079cf414bb7441d9c09e8dd1d,What Ifs (feat. Lauren Alaina),1166242927,Country,188270,https://music.apple.com/us/album/what-ifs-feat-lauren-alaina/1166242812?i=1166242927&uo=4
472,73,"""Chained to the Rhythm""",Katy Perry featuring Skip Marley,2017,Chained To The Rhythm,7qvxFz3JodM0A7xEM7k3YD,False,https://i.scdn.co/image/ab67616d0000b273cce6bab1f59b165133175d88,2017-06-09,,Chained To the Rhythm (feat. Skip Marley),1444872762,Pop,234800,https://music.apple.com/us/album/chained-to-the-rhythm-feat-skip-marley/1440878567?i=1440879008&uo=4
473,74,"""Feels""","Calvin Harris featuring Pharrell Williams, Katy Perry and Big Sean",2017,Feels Like We Only Go Backwards,5bcTCxgc7xVfSaMV3RuVke,False,https://i.scdn.co/image/ab67616d0000b273370c12f82872c9cfaee80193,2012-01-01,,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",1233869916,Dance,223407,https://music.apple.com/us/album/feels-feat-pharrell-williams-katy-perry-big-sean/1233869908?i=1233869916&uo=4
474,75,"""All Time Low""",Jon Bellion,2017,All Time Low,0SuLAslEMFZAXf0SwY7syi,True,https://i.scdn.co/image/ab67616d0000b273804533fa6608d1c8d420dbeb,2016-06-10,,All Time Low,1440846993,Pop,217603,https://music.apple.com/us/album/all-time-low/1440846987?i=1440846993&uo=4
475,76,"""Hurricane""",Luke Combs,2017,Hurricane,6Hfu9sc7jvv6coyy2LlzBF,False,https://i.scdn.co/image/ab67616d0000b273cad190f1a73c024e5a40dddd,2021-08-29,,Hurricane,1228888134,Country,223307,https://music.apple.com/us/album/hurricane/1228887671?i=1228888134&uo=4
476,77,"""Too Good at Goodbyes""",Sam Smith,2017,Too Good At Goodbyes,3VlbOrM6nYPprVvzBZllE5,False,https://i.scdn.co/image/ab67616d0000b273f3ea7140c4a8ba597d0b276b,2017-11-03,,Too Good at Goodbyes,1536646948,Pop,260523,https://music.apple.com/us/album/too-good-at-goodbyes-live-at-the-brits/1444861565?i=1444861857&uo=4
477,78,"""Young Dumb & Broke""",Khalid,2017,Young Dumb & Broke,5Z3GHaZ6ec9bsiI5BenrbY,False,https://i.scdn.co/image/ab67616d0000b273988ede5e1276e758b5f9e577,2017-04-27,https://p.scdn.co/mp3-preview/7f85d7814c5ff276d0ad416cd3f4c1cf88ece7af?cid=914d599079cf414bb7441d9c09e8dd1d,Young Dumb & Broke,1294928613,R&B/Soul,202535,https://music.apple.com/us/album/young-dumb-broke/1200868601?i=1200868874&uo=4
478,79,"""Magnolia""",Playboi Carti,2017,Magnolia,1e1JKLEDKP7hEQzJfNAgPl,True,https://i.scdn.co/image/ab67616d0000b273e31a279d267f3b3d8912e6f1,2017-04-14,,Magnolia,347063795,Hip-Hop/Rap,181812,https://music.apple.com/us/album/magnolia/1440887343?i=1440887515&uo=4
479,80,"""Love Galore""",SZA featuring Travis Scott,2017,Love Galore (feat. Travis Scott),0q75NwOoFiARAVp4EXU4Bs,True,https://i.scdn.co/image/ab67616d0000b2734c79d5ec52a6d0302f3add25,2017-06-09,https://p.scdn.co/mp3-preview/d7ecfdfafd5058e31e1a164da135a08557714a40?cid=914d599079cf414bb7441d9c09e8dd1d,Love Galore (feat. Travis Scott),1239976603,R&B/Soul,275085,https://music.apple.com/us/album/love-galore-feat-travis-scott/1239976329?i=1239976603&uo=4
480,81,"""Drowning""",A Boogie wit da Hoodie featuring Kodak Black,2017,Drowning (feat. Kodak Black),1f5cbQtDrykjarZVrShaDI,True,https://i.scdn.co/image/ab67616d0000b273cdba7ee22968991250725ce1,2017-09-29,https://p.scdn.co/mp3-preview/a9055a0b7e3107db5f0b75553baabff230186f8f?cid=914d599079cf414bb7441d9c09e8dd1d,Drowning (feat. Kodak Black),664658559,Hip-Hop/Rap,209269,https://music.apple.com/us/album/drowning-feat-kodak-black/1278404610?i=1278404870&uo=4
481,82,"""Starving""",Hailee Steinfeld and Grey featuring Zedd,2017,Starving,4Ce37cRWvM1vIGGynKcs22,False,https://i.scdn.co/image/ab67616d0000b2730506a838892be6229dca857b,2016-07-22,,Starving (feat. Zedd),1444891951,Pop,181838,https://music.apple.com/us/album/starving-feat-zedd/1444891935?i=1444891951&uo=4
482,83,"""Both""",Gucci Mane featuring Drake,2017,Both (feat. Drake),5tFep7dXGd7vEJ668wTPux,True,https://i.scdn.co/image/ab67616d0000b2738c75413c7f38b3f512a75b35,2016-12-16,https://p.scdn.co/mp3-preview/7ec8b632b0fdbe4dce7af0674742b3287d1b352d?cid=914d599079cf414bb7441d9c09e8dd1d,Both (feat. Drake),1186969034,Hip-Hop/Rap,190312,https://music.apple.com/us/album/both-feat-drake/1186968887?i=1186969034&uo=4
483,84,"""What About Us""",Pink,2017,What About Us,0Qh38w01QRXK6KHIv0e3hb,False,https://i.scdn.co/image/ab67616d0000b27300164c96548a622d34b39828,2017-10-13,https://p.scdn.co/mp3-preview/bf4007427adea73f480aa8ac732d4ec420c462ab?cid=914d599079cf414bb7441d9c09e8dd1d,What About Us,1269268841,Pop,269595,https://music.apple.com/us/album/what-about-us/1269268686?i=1269268841&uo=4
484,85,"""Swalla""",Jason Derulo featuring Nicki Minaj and Ty Dolla Sign,2017,Swalla (feat. Nicki Minaj & Ty Dolla $ign),6kex4EBAj0WHXDKZMEJaaF,True,https://i.scdn.co/image/ab67616d0000b2739d6522bee68370fa5592301d,2017-02-23,https://p.scdn.co/mp3-preview/60a1e04acbccb5d7dd6292d5abe2117edd26988d?cid=914d599079cf414bb7441d9c09e8dd1d,Swalla (feat. Nicki Minaj & Ty Dolla $ign),1205575439,Pop,216409,https://music.apple.com/us/album/swalla-feat-nicki-minaj-ty-dolla-%24ign/1205574617?i=1205575439&uo=4
485,86,"""Slippery""",Migos featuring Gucci Mane,2017,Slippery (feat. Gucci Mane),7toIqSTfa9Phsmu2hKwTyx,True,https://i.scdn.co/image/ab67616d0000b273cf9b68115dcb2a222c252f00,2017-04-07,https://p.scdn.co/mp3-preview/ae39fc69e7316bc59f355c736a2e532ac3eca0f8?cid=914d599079cf414bb7441d9c09e8dd1d,Slippery (feat. Gucci Mane),1615496468,Hip-Hop,304041,https://music.apple.com/us/album/slippery-feat-gucci-mane/1192538488?i=1192538690&uo=4
486,87,"""Sign of the Times""",Harry Styles,2017,Sign of the Times,5Ohxk2dO5COHF1krpoPigN,False,https://i.scdn.co/image/ab67616d0000b2736c619c39c853f8b1d67b7859,2017-05-12,https://p.scdn.co/mp3-preview/031e6b12cc5e1a7a73ce41c0a89f12c7b360ad06?cid=914d599079cf414bb7441d9c09e8dd1d,Sign of the Times,1226034393,Pop,340707,https://music.apple.com/us/album/sign-of-the-times/1226034336?i=1226034393&uo=4
487,88,"""Water Under the Bridge""",Adele,2017,Water Under the Bridge,4jL6WWKFDqCOPo2hC3VhSS,False,https://i.scdn.co/image/ab67616d0000b2732e88d7f65e6bea2a05202c14,2015-11-20,https://p.scdn.co/mp3-preview/b3d41a873606c11b307db42be082aae9cf145f92?cid=914d599079cf414bb7441d9c09e8dd1d,Water Under the Bridge,1544494722,Pop,240439,https://music.apple.com/us/album/water-under-the-bridge/1544494115?i=1544494722&uo=4
488,89,"""Malibu""",Miley Cyrus,2017,Malibu,1UZOjK1BwmwWU14Erba9CZ,False,https://i.scdn.co/image/ab67616d0000b2739012e092ad8ed4731ea11134,2017-09-29,https://p.scdn.co/mp3-preview/f08235c8233524849f67af9614f9b838a4717cc5?cid=914d599079cf414bb7441d9c09e8dd1d,Malibu,1462327577,Dance,218547,https://music.apple.com/us/album/malibu-the-him-remix/1440804289?i=1440805151&uo=4
489,90,"""Down""",Marian Hill,2017,Down,6cmm1LMvZdB5zsCwX5BjqE,False,https://i.scdn.co/image/ab67616d0000b273e207a14471e5356294146e9d,2009-01-01,,Down,1440845713,Rock,170973,https://music.apple.com/us/album/down/258517394?i=258517405&uo=4
490,91,"""No Promises""",Cheat Codes featuring Demi Lovato,2017,No Promises (feat. Demi Lovato),5lNuqFVMca4vPupY10cH0J,False,https://i.scdn.co/image/ab67616d0000b273062bb63b7d23422bd4cc420e,2017-03-31,https://p.scdn.co/mp3-preview/d83c6edcd9ea3409298c6b2bbbf53dc0c1b4743a?cid=914d599079cf414bb7441d9c09e8dd1d,No Promises (feat. Demi Lovato),1218415301,Pop,222787,https://music.apple.com/us/album/no-promises-feat-demi-lovato/1218414730?i=1218415301&uo=4
491,92,"""Treat You Better""",Shawn Mendes,2017,Treat You Better,3QGsuHI8jO1Rx4JWLUh9jd,False,https://i.scdn.co/image/ab67616d0000b2731376b4b16f4bfcba02dc571b,2017-04-20,,Treat You Better,1445311461,Pop,232667,https://music.apple.com/us/album/treat-you-better-ashworth-remix/1445311455?i=1445311461&uo=4
492,93,"""I Get the Bag""",Gucci Mane featuring Migos,2017,I Get the Bag (feat. Migos),1XRgIKC5TPwo7nWGyKqgG0,True,https://i.scdn.co/image/ab67616d0000b273af7525e55333b110ff0f4e95,2017-10-13,https://p.scdn.co/mp3-preview/a5129a8714fc6f01cab372cc464f44249d5aa6b1?cid=914d599079cf414bb7441d9c09e8dd1d,I Get the Bag (feat. Migos),1271423854,Hip-Hop/Rap,233087,https://music.apple.com/us/album/i-get-the-bag-feat-migos/1271423847?i=1271423854&uo=4
493,94,"""Small Town Boy""",Dustin Lynch,2017,Small Town Boy,2YMhrXQYKkm4kXLcXKKd5z,False,https://i.scdn.co/image/ab67616d0000b2734686b4078ad5eb92315d28e0,2017-09-08,https://p.scdn.co/mp3-preview/4496a1d534cba2e7d33bdf3514037e000039efa6?cid=914d599079cf414bb7441d9c09e8dd1d,Small Town Boy,1320069110,Country,206093,https://music.apple.com/us/album/small-town-boy/1267364545?i=1267365212&uo=4
494,95,"""Everyday We Lit""",YFN Lucci featuring PnB Rock,2017,Everyday We Lit (feat. PnB Rock),3J8Q6aBhjpvao8BsBQ6H9Y,True,https://i.scdn.co/image/ab67616d0000b273abe654ca27d5c3fd3ddf51fa,2017-03-03,https://p.scdn.co/mp3-preview/0bd91124fdb0e2f530c9884813393ff4193fc9ae?cid=914d599079cf414bb7441d9c09e8dd1d,"Everyday We Lit (Remix) [feat. PnB Rock, Lil Yachty & Wiz Khalifa]",1568743139,Hip-Hop/Rap,236923,https://music.apple.com/us/album/everyday-we-lit-remix-feat-pnb-rock-lil-yachty-wiz-khalifa/1568743776?i=1568743781&uo=4
495,96,"""Havana""",Camila Cabello featuring Young Thug,2017,Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,False,https://i.scdn.co/image/ab67616d0000b2736eb0b9e73adcf04e4ed3eca4,2018-01-12,https://p.scdn.co/mp3-preview/dde842d9c212b2acdd3dcbefa41f2b41b198ec8f?cid=914d599079cf414bb7441d9c09e8dd1d,Havana (feat. Young Thug),1491883914,Pop,217309,https://music.apple.com/us/album/havana-feat-young-thug/1321216767?i=1321217032&uo=4
496,97,"""What Lovers Do""",Maroon 5 featuring SZA,2017,What Lovers Do (feat. SZA),01jYr51yY1vQQYJrOQuhXU,False,https://i.scdn.co/image/ab67616d0000b273fc4852898bc6ed85b3e3f89c,2018-06-15,,What Lovers Do (feat. SZA),1444618664,Pop,199849,https://music.apple.com/us/album/what-lovers-do-feat-sza/1444618662?i=1444618664&uo=4
497,98,"""Do Re Mi""",Blackbear,2017,do re mi,6Se3x9ANMLv0dCDsjGmEjh,True,https://i.scdn.co/image/ab67616d0000b2736c112ab47442b526755ffe36,2017-04-21,https://p.scdn.co/mp3-preview/82f57e9d11cb3b254af98ff0b28c8a85831d7d56?cid=914d599079cf414bb7441d9c09e8dd1d,do re mi,1576021521,R&B/Soul,212027,https://music.apple.com/us/album/do-re-mi/1576021199?i=1576021521&uo=4
498,99,"""Look at Me!""",XXXTentacion,2017,Look At Me!,7floNISpH8VF4z4459Qo18,True,https://i.scdn.co/image/ab67616d0000b27371af28545729f60b3eca66f7,2017-02-20,https://p.scdn.co/mp3-preview/8e7a9bbc76e20e3f5020c0420a9c0a1e63634bac?cid=914d599079cf414bb7441d9c09e8dd1d,Look At Me!,336669184,Hip-Hop/Rap,126346,https://music.apple.com/us/album/look-at-me/1207987856?i=1207987881&uo=4
499,100,"""The Fighter""",Keith Urban featuring Carrie Underwood,2017,The Fighter,5OUSPcqhYTOzpbXzoEvKim,False,https://i.scdn.co/image/ab67616d0000b27354cf35cdbebd3ff59e9328b4,2016-05-06,,The Fighter (feat. Carrie Underwood),1440879360,Country,184040,https://music.apple.com/us/album/the-fighter-feat-carrie-underwood/1440845766?i=1440846373&uo=4
500,1,"""Love Yourself""",Justin Bieber,2016,Love Yourself,50kpGaPAhYJ3sGmk6vplg0,False,https://i.scdn.co/image/ab67616d0000b273f46b9d202509a8f7384b90de,2015-11-13,,Love Yourself (House Remix),1085993962,Dance,309851,https://music.apple.com/us/album/love-yourself-house-remix/1085993799?i=1085993962&uo=4
501,2,"""Sorry""",Justin Bieber,2016,Sorry Bout That,4VHkjPgAis9JNfc1URn7zZ,True,https://i.scdn.co/image/ab67616d0000b27387b1f578fa40d6ac504b57d7,2021-06-10,https://p.scdn.co/mp3-preview/b6009222c449a901e64c6429c1f8b1de4efe284b?cid=914d599079cf414bb7441d9c09e8dd1d,"Sorry - Parody of Justin Bieber's ""Sorry""",1099363769,Comedy,160693,https://music.apple.com/us/album/sorry-parody-of-justin-biebers-sorry/1099363626?i=1099363769&uo=4
502,3,"""One Dance""",Drake featuring Wizkid and Kyla,2016,One Dance,1zi7xx7UVEFkmKfv06H8x0,False,https://i.scdn.co/image/ab67616d0000b2739416ed64daf84936d89e671c,2016-05-06,,One Dance (feat. Wizkid & Kyla),1440841384,Hip-Hop/Rap,173985,https://music.apple.com/us/album/one-dance-feat-wizkid-kyla/1440841363?i=1440841384&uo=4
503,4,"""Work""",Rihanna featuring Drake,2016,Work Out,2wAJTrFhCnQyNSD3oUgTZO,True,https://i.scdn.co/image/ab67616d0000b27399da48a530f6ca2ef86da3cc,2011-09-27,,Work (feat. Drake),1440934019,Pop,219340,https://music.apple.com/us/album/work-feat-drake/1440933869?i=1440934019&uo=4
504,5,"""Stressed Out""",Twenty One Pilots,2016,Stressed Out,3CRDbSIZ4r5MsZ0YwxuEkn,False,https://i.scdn.co/image/ab67616d0000b273de03bfc2991fd5bcfde65ba3,2015-05-15,https://p.scdn.co/mp3-preview/4d82e9c363b235d0c66bceeb745c988831149d44?cid=914d599079cf414bb7441d9c09e8dd1d,Stressed Out,974485474,Alternative,202335,https://music.apple.com/us/album/stressed-out/974485462?i=974485474&uo=4
505,6,"""Panda""",Desiigner,2016,Panda,275a9yzwGB6ncAW4SxY7q3,True,https://i.scdn.co/image/ab67616d0000b273584ad36d1712bc9d51e797ff,2016-02-26,,Panda,1445318759,Hip-Hop/Rap,247867,https://music.apple.com/us/album/panda/1445318748?i=1445318759&uo=4
506,7,"""Hello""",Adele,2016,Hello (feat. A Boogie Wit da Hoodie),2r6OAV3WsYtXuXjvJ1lIDi,True,https://i.scdn.co/image/ab67616d0000b27346e1307c35579c3483ea7b03,2020-07-20,,Hello (Adele),1060947059,Rock,293135,https://music.apple.com/us/album/hello-adele/1060947053?i=1060947059&uo=4
507,8,"""Don't Let Me Down""",The Chainsmokers featuring Daya,2016,Don't Let Me Down,1i1fxkWeaMmKEB4T7zqbzK,False,https://i.scdn.co/image/ab67616d0000b273df7cddc2d32ef9df762d5a30,2016-02-05,https://p.scdn.co/mp3-preview/e3b81f0f3532f58bd0eb554d0cc9e3f24e8f290c?cid=914d599079cf414bb7441d9c09e8dd1d,Don't Let Me Down (feat. Daya),1170699706,Dance,208658,https://music.apple.com/us/album/dont-let-me-down-feat-daya/1170699510?i=1170699706&uo=4
508,9,"""Can't Stop the Feeling!""",Justin Timberlake,2016,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",1WkMMavIMc4JZ8cfMmxHkI,False,https://i.scdn.co/image/ab67616d0000b273d965d29d7dcf46ade5a8a7e4,2016-09-23,https://p.scdn.co/mp3-preview/3f3eadf07c7c28762b4307d63a28039048b4e63b?cid=914d599079cf414bb7441d9c09e8dd1d,CAN'T STOP THE FEELING!,1154239184,Soundtrack,237544,https://music.apple.com/us/album/cant-stop-the-feeling/1154238159?i=1154239184&uo=4
509,10,"""Closer""",The Chainsmokers featuring Halsey,2016,Closer,7BKLCZ1jbUBVqRi2FVlTVw,False,https://i.scdn.co/image/ab67616d0000b273495ce6da9aeb159e94eaa453,2016-07-29,https://p.scdn.co/mp3-preview/aacaac1614505dbb3eb2045a31f2c0cb70e7aa59?cid=914d599079cf414bb7441d9c09e8dd1d,Closer (feat. Halsey),1170699703,Dance,245506,https://music.apple.com/us/album/closer-feat-halsey/1170699510?i=1170699703&uo=4
510,11,"""Cheap Thrills""",Sia featuring Sean Paul,2016,Cheap Thrills,3S4px9f4lceWdKf0gWciFu,False,https://i.scdn.co/image/ab67616d0000b273754b2fddebe7039fdb912837,2016-10-21,https://p.scdn.co/mp3-preview/97785e152d46e770f840a37c52acb296e16e2b6d?cid=914d599079cf414bb7441d9c09e8dd1d,Cheap Thrills (feat. Sean Paul),1082506273,Pop,224813,https://music.apple.com/us/album/cheap-thrills-feat-sean-paul/1082505789?i=1082506273&uo=4
511,12,"""7 Years""",Lukas Graham,2016,7 Years,5kqIPrATaCc2LqxVWzQGbk,False,https://i.scdn.co/image/ab67616d0000b2732d94d0f04e9a58d1654b760b,2016-04-01,https://p.scdn.co/mp3-preview/7ce6f47335f7513a448d434b81475a93c048eba4?cid=914d599079cf414bb7441d9c09e8dd1d,7 Years,1081573445,Pop,237300,https://music.apple.com/us/album/7-years/1081573096?i=1081573445&uo=4
512,13,"""Needed Me""",Rihanna,2016,Needed Me,4pAl7FkDMNBsjykPXo91B3,True,https://i.scdn.co/image/ab67616d0000b27333c6b920eabcf4c00d7a1093,2016-01-28,,Needed Me,1440934096,Pop,191605,https://music.apple.com/us/album/needed-me/1440933869?i=1440934096&uo=4
513,14,"""My House""",Flo Rida,2016,My House,6Knv6wdA0luoMUuuoYi2i1,False,https://i.scdn.co/image/ab67616d0000b2737947bf3e8af32378de181b41,2015-04-07,https://p.scdn.co/mp3-preview/a7f75cdd3e9031ad206f5677f85b2c39d3cbd29a?cid=914d599079cf414bb7441d9c09e8dd1d,My House,971238507,Hip-Hop/Rap,192191,https://music.apple.com/us/album/my-house/971238498?i=971238507&uo=4
514,15,"""I Took a Pill in Ibiza""",Mike Posner,2016,I Took A Pill In Ibiza - Seeb Remix,1MtUq6Wp1eQ8PC6BbPCj8P,True,https://i.scdn.co/image/ab67616d0000b273a19be7aca4a1fcd6e8a42c62,2016-05-06,,I Took a Pill in Ibiza,1440833726,Dance,197936,https://music.apple.com/us/album/i-took-a-pill-in-ibiza-seeb-remix/1440833628?i=1440833726&uo=4
515,16,"""Work from Home""",Fifth Harmony featuring Ty Dolla Sign,2016,Work from Home (feat. Ty Dolla $ign),4tCtwWceOPWzenK2HAIJSb,False,https://i.scdn.co/image/ab67616d0000b273d03fa6f4e758282b7920b5c8,2016-05-27,https://p.scdn.co/mp3-preview/c1be899f064420cbc8a5e7e91d9c32c4e327dd41?cid=914d599079cf414bb7441d9c09e8dd1d,Work from Home (feat. Ty Dolla $ign),1087445213,Pop,214478,https://music.apple.com/us/album/work-from-home-feat-ty-dolla-%24ign/1087445205?i=1087445213&uo=4
516,17,"""This Is What You Came For""",Calvin Harris featuring Rihanna,2016,This Is What You Came For (feat. Rihanna),0azC730Exh71aQlOt9Zj3y,False,https://i.scdn.co/image/ab67616d0000b273d9aa52355e062f5de060adbf,2016-04-29,https://p.scdn.co/mp3-preview/d4ae5e0e14fb874904a6af23869a9eb96234d88e?cid=914d599079cf414bb7441d9c09e8dd1d,This Is What You Came For (feat. Rihanna),1108212668,Dance,221901,https://music.apple.com/us/album/this-is-what-you-came-for-feat-rihanna/1108212521?i=1108212668&uo=4
517,18,"""Cake by the Ocean""",DNCE,2016,Cake By The Ocean,76hfruVvmfQbw0eYn1nmeC,True,https://i.scdn.co/image/ab67616d0000b2738d0a75346badc30c8b845be9,2016-11-18,,Cake by the Ocean,1443123072,Pop,218451,https://music.apple.com/us/album/cake-by-the-ocean/1443122919?i=1443123072&uo=4
518,19,"""Me, Myself & I""",G-Eazy and Bebe Rexha,2016,"Me, Myself & I",40YcuQysJ0KlGQTeGUosTC,True,https://i.scdn.co/image/ab67616d0000b27398acfa8c055deedc25e6081d,2015-12-04,https://p.scdn.co/mp3-preview/af1c51213be4a3741dda5180198566ad86366976?cid=914d599079cf414bb7441d9c09e8dd1d,"Me, Myself & I",1500952843,Hip-Hop/Rap,251465,https://music.apple.com/us/album/me-myself-i/1053579793?i=1053579800&uo=4
519,20,"""Ride""",Twenty One Pilots,2016,Ride,2Z8WuEywRWYTKe1NybPQEW,False,https://i.scdn.co/image/ab67616d0000b273de03bfc2991fd5bcfde65ba3,2015-05-15,https://p.scdn.co/mp3-preview/c6011d475d777067dbe2907abd3ae133e8b2a828?cid=914d599079cf414bb7441d9c09e8dd1d,Ride,974485805,Alternative,214505,https://music.apple.com/us/album/ride/974485462?i=974485805&uo=4
520,21,"""Heathens""",Twenty One Pilots,2016,Heathens,6i0V12jOa3mr6uu4WYhUBr,False,https://i.scdn.co/image/ab67616d0000b2732ca3ba8f334ca5a5f0312efb,2016-06-16,https://p.scdn.co/mp3-preview/1eec0afcc9b808702506c14bb5a03f084d1051f8?cid=914d599079cf414bb7441d9c09e8dd1d,Heathens,1125281487,Alternative,195920,https://music.apple.com/us/album/heathens/1125281254?i=1125281487&uo=4
521,22,"""Pillowtalk""",Zayn,2016,PILLOWTALK,0PDUDa38GO8lMxLCRc4lL1,True,https://i.scdn.co/image/ab67616d0000b273a15e26d05b7ce776b566579d,2016-03-25,https://p.scdn.co/mp3-preview/eaf2d16e695d4fafda8cfc96f4dc6adefb82956f?cid=914d599079cf414bb7441d9c09e8dd1d,PILLOWTALK,1087172330,Pop,202750,https://music.apple.com/us/album/pillowtalk/1087172327?i=1087172330&uo=4
522,23,"""Stitches""",Shawn Mendes,2016,Stitches,5jsw9uXEGuKyJzs0boZ1bT,False,https://i.scdn.co/image/ab67616d0000b273d26246b23c8bfa8ce543b3bb,2015-04-14,,Stitches,1440843848,Pop,206880,https://music.apple.com/us/album/stitches/1440843842?i=1440843848&uo=4
523,24,"""Hotline Bling""",Drake,2016,Hotline Bling,0wwPcA6wtMf6HUMpIRdeP7,False,https://i.scdn.co/image/ab67616d0000b2739416ed64daf84936d89e671c,2016-05-06,,Hotline Bling,1440843974,Hip-Hop/Rap,267024,https://music.apple.com/us/album/hotline-bling/1440842556?i=1440843974&uo=4
524,25,"""Cold Water""",Major Lazer featuring Justin Bieber and MØ,2016,Cold Water,7zsXy7vlHdItvUSH8EwQss,False,https://i.scdn.co/image/ab67616d0000b2733d2ab503fa064e2050a7d115,2016-07-22,,Cold Water (feat. Justin Bieber & MØ),1445302386,Pop,185360,https://music.apple.com/us/album/cold-water-feat-justin-bieber-m%C3%B8/1445302383?i=1445302386&uo=4
525,26,"""Send My Love (To Your New Lover)""",Adele,2016,Send My Love (To Your New Lover),0t7fVeEJxO2Xi4H2K5Svc9,False,https://i.scdn.co/image/ab67616d0000b2732e88d7f65e6bea2a05202c14,2015-11-20,https://p.scdn.co/mp3-preview/a71388f93134b0da5347ac61075fa8ae143b3803?cid=914d599079cf414bb7441d9c09e8dd1d,Send My Love (To Your New Lover),1544494394,Pop,223079,https://music.apple.com/us/album/send-my-love-to-your-new-lover/1544494115?i=1544494394&uo=4
526,27,"""Roses""",The Chainsmokers featuring Rozes,2016,Roses,3vv9phIu6Y1vX3jcqaGz5Z,False,https://i.scdn.co/image/ab67616d0000b2738d2cfad007b9431f48aef135,2015-06-16,https://p.scdn.co/mp3-preview/5b5c3ae091f821ba0f038d89743fe4e8da7f99a6?cid=914d599079cf414bb7441d9c09e8dd1d,Roses (feat. ROZES),1050203620,Dance,225813,https://music.apple.com/us/album/roses-feat-rozes/1050203612?i=1050203620&uo=4
527,28,"""Treat You Better""",Shawn Mendes,2016,Treat You Better,3QGsuHI8jO1Rx4JWLUh9jd,False,https://i.scdn.co/image/ab67616d0000b2731376b4b16f4bfcba02dc571b,2017-04-20,,Treat You Better,1445311461,Pop,232667,https://music.apple.com/us/album/treat-you-better-ashworth-remix/1445311455?i=1445311461&uo=4
528,29,"""Too Good""",Drake featuring Rihanna,2016,Too Good,3BtuIIrQlkujKPuWF2B85z,True,https://i.scdn.co/image/ab67616d0000b2739416ed64daf84936d89e671c,2016-05-06,,Too Good (feat. Rihanna),1440841390,Hip-Hop/Rap,263371,https://music.apple.com/us/album/too-good-feat-rihanna/1440841363?i=1440841390&uo=4
529,30,"""Low Life""",Future featuring The Weeknd,2016,Low Life (feat. The Weeknd),7EiZI6JVHllARrX9PUvAdX,True,https://i.scdn.co/image/ab67616d0000b273626745b3aa04899001a924ad,2016-04-13,https://p.scdn.co/mp3-preview/8f3b3b294bb9f16a6a6491d1a31a36ed2d474555?cid=914d599079cf414bb7441d9c09e8dd1d,Low Life (feat. The Weeknd),1081197914,Hip-Hop/Rap,313547,https://music.apple.com/us/album/low-life-feat-the-weeknd/1081197363?i=1081197914&uo=4
530,31,"""What Do You Mean?""",Justin Bieber,2016,What Do You Mean?,4B0JvthVoAAuygILe3n4Bs,False,https://i.scdn.co/image/ab67616d0000b273f46b9d202509a8f7384b90de,2015-11-13,,What Do You Mean?,1066987738,Fitness & Workout,258280,https://music.apple.com/us/album/what-do-you-mean-workout-mix/1066987724?i=1066987738&uo=4
531,32,"""The Hills""",The Weeknd,2016,The Hills,7fBv7CLKzipRk6EC6TWHOB,True,https://i.scdn.co/image/ab67616d0000b2737fcead687e99583072cc217b,2015-08-28,,The Hills,1440826383,R&B/Soul,242291,https://music.apple.com/us/album/the-hills/1440826239?i=1440826383&uo=4
532,33,"""Just Like Fire""",P!nk,2016,"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",7K5dzhGda2vRTaAWYI3hrb,False,https://i.scdn.co/image/ab67616d0000b2732002a63b1572e5cd031ab78f,2016-04-15,https://p.scdn.co/mp3-preview/635fa015c695c635eb5578b81d465595e53753a0?cid=914d599079cf414bb7441d9c09e8dd1d,"Just Like Fire (From ""Alice Through the Looking Glass"")",1101931754,Pop,215414,https://music.apple.com/us/album/just-like-fire-from-alice-through-the-looking-glass/1101931648?i=1101931754&uo=4
